id,friendlyName,group,help,type,dbField2
ip,All IP fields,general,Search all ip fields,ip,ipall
port,All port fields,general,Search all port fields,integer,portall
rir,All rir fields,general,Search all rir fields,uptermfield,rirall
country,All country fields,general,Search all country fields,uptermfield,geoall
asn,All ASN fields,general,Search all ASN fields,termfield,asnall
host,All Host fields,general,Search all Host fields,lotermfield,hostall
source.as.number,Src ASN Number,general,GeoIP ASN Number calculated from the source IP,integer,
source.as.organization.name,Src ASN Name,general,GeoIP ASN Name calculated from the source IP,termfield,
rir.src,Src RIR,general,Source RIR,uptermfield,srcRIR
destination.as.number,Dst ASN Number,general,GeoIP ASN Number calculated from the destination IP,integer,
destination.as.organization.name,Dst ASN Name,general,GeoIP ASN Name calculated from the destination IP,termfield,
rir.dst,Dst RIR,general,Destination RIR,uptermfield,dstRIR
databytes,Data bytes,general,Total number of data bytes sent AND received in a session,integer,totDataBytes
ip.protocol,IP Protocol,general,IP protocol number or friendly name,lotermfield,ipProtocol
id,Arkime ID,general,Arkime ID for the session,termfield,_id
rootId,Arkime Root ID,general,Arkime ID of the first session in a multi session stream,termfield,rootId
node,Arkime Node,general,Arkime node name the session was recorded on,termfield,node
srcNode,Arkime Source Node,general,Source Arkime node name the session was recorded on when using send to cluster,termfield,srcNode
file,Filename,general,Arkime offline pcap filename,fileand,fileand
payload8.src.hex,Payload Src Hex,general,First 8 bytes of source payload in hex,lotermfield,srcPayload8
payload8.src.utf8,Payload Src UTF8,general,First 8 bytes of source payload in utf8,termfield,srcPayload8
payload8.dst.hex,Payload Dst Hex,general,First 8 bytes of destination payload in hex,lotermfield,dstPayload8
payload8.dst.utf8,Payload Dst UTF8,general,First 8 bytes of destination payload in utf8,termfield,dstPayload8
payload8.hex,Payload Hex,general,First 8 bytes of payload in hex,lotermfield,fballhex
payload8.utf8,Payload UTF8,general,First 8 bytes of payload in utf8,lotermfield,fballutf8
scrubbed.by,Scrubbed By,general,SPI data was scrubbed by,lotermfield,scrubby
view,View Name,general,Arkime view name,viewand,viewand
starttime,Start Time,general,Session Start Time,seconds,firstPacket
stoptime,Stop Time,general,Session Stop Time,seconds,lastPacket
huntId,Hunt ID,general,The ID of the packet search job that matched this session,termfield,huntId
huntName,Hunt Name,general,The name of the packet search job that matched this session,termfield,huntName
port.dst,Dst Port,general,Destination Port,integer,dstPort
asn.src,Src ASN,general,GeoIP ASN string calculated from the source IP,termfield,srcASN
bytes.dst,Dst Bytes,general,Total number of raw bytes sent by destination in a session,integer,dstBytes
port.src,Src Port,general,Source Port,integer,srcPort
packets,Packets,general,Total number of packets sent AND received in a session,integer,totPackets
ip.src,Src IP,general,Source IP,ip,srcIp
databytes.src,Src data bytes,general,Total number of data bytes sent by source in a session,integer,srcDataBytes
country.dst,Dst Country,general,Destination Country,uptermfield,dstGEO
asn.dst,Dst ASN,general,GeoIP ASN string calculated from the destination IP,termfield,dstASN
bytes.src,Src Bytes,general,Total number of raw bytes sent by source in a session,integer,srcBytes
bytes,Bytes,general,Total number of raw bytes sent AND received in a session,integer,totBytes
ip.dst,Dst IP,general,Destination IP,ip,dstIp
databytes.dst,Dst data bytes,general,Total number of data bytes sent by destination in a session,integer,dstDataBytes
country.src,Src Country,general,Source Country,uptermfield,srcGEO
ftp.savedFile,Saved File,ftp,Path of the reassembled FTP data-channel file saved to disk,termfield,ftp.savedFile
ftp.savedFile.cnt,Saved File Cnt,ftp,Unique number of Path of the reassembled FTP data-channel file saved to disk,integer,ftp.savedFileCnt
http.bodyfile,HTTP Body File,http,HTTP Body saved file path,termfield,http.bodyFile
mac.src,Src MAC,general,Source ethernet mac addresses set for session,lotermfield,source.mac
mac.src.cnt,Src MAC Cnt,general,Unique number of Source ethernet mac addresses set for session,integer,source.mac-cnt
mac.dst,Dst MAC,general,Destination ethernet mac addresses set for session,lotermfield,destination.mac
mac.dst.cnt,Dst MAC Cnt,general,Unique number of Destination ethernet mac addresses set for session,integer,destination.mac-cnt
outermac.src,Src Outer MAC,general,Source ethernet outer mac addresses set for session,lotermfield,srcOuterMac
outermac.src.cnt,Src Outer MAC Cnt,general,Unique number of Source ethernet outer mac addresses set for session,integer,srcOuterMac-cnt
outermac.dst,Dst Outer MAC,general,Destination ethernet outer mac addresses set for session,lotermfield,dstOuterMac
outermac.dst.cnt,Dst Outer MAC Cnt,general,Unique number of Destination ethernet outer mac addresses set for session,integer,dstOuterMac-cnt
dscp.src,Src DSCP,general,Source non zero differentiated services class selector set for session,integer,srcDscp
dscp.src.cnt,Src DSCP Cnt,general,Unique number of Source non zero differentiated services class selector set for session,integer,srcDscpCnt
dscp.dst,Dst DSCP,general,Destination non zero differentiated services class selector set for session,integer,dstDscp
dscp.dst.cnt,Dst DSCP Cnt,general,Unique number of Destination non zero differentiated services class selector set for session,integer,dstDscpCnt
ttl.src,TTL Src,general,Source IP TTL for first few packets,integer,srcTTL
ttl.src.cnt,TTL Src Cnt,general,Unique number of Source IP TTL for first few packets,integer,srcTTLCnt
ttl.dst,TTL Dst,general,Destination IP TTL for first few packets,integer,dstTTL
ttl.dst.cnt,TTL Dst Cnt,general,Unique number of Destination IP TTL for first few packets,integer,dstTTLCnt
mac,Src or Dst MAC,general,Shorthand for mac.src or mac.dst,lotermfield,macall
outermac,Src or Dst Outer MAC,general,Shorthand for outermac.src or outermac.dst,lotermfield,outermacall
oui.src,Src OUI,general,Source ethernet oui for session,termfield,srcOui
oui.src.cnt,Src OUI Cnt,general,Unique number of Source ethernet oui for session,integer,srcOuiCnt
oui.dst,Dst OUI,general,Destination ethernet oui for session,termfield,dstOui
oui.dst.cnt,Dst OUI Cnt,general,Unique number of Destination ethernet oui for session,integer,dstOuiCnt
outeroui.src,Src Outer OUI,general,Source ethernet outer oui for session,termfield,srcOuterOui
outeroui.src.cnt,Src Outer OUI Cnt,general,Unique number of Source ethernet outer oui for session,integer,srcOuterOuiCnt
outeroui.dst,Dst Outer OUI,general,Destination ethernet outer oui for session,termfield,dstOuterOui
outeroui.dst.cnt,Dst Outer OUI Cnt,general,Unique number of Destination ethernet outer oui for session,integer,dstOuterOuiCnt
vlan,VLan,general,vlan value,integer,network.vlan.id
vlan.cnt,VLan Cnt,general,Unique number of vlan value,integer,network.vlan.id-cnt
vlan.dot1q,VLan dot1q,general,vlan dot1q,integer,dot1q.id
vlan.dot1q.cnt,VLan dot1q Cnt,general,Unique number of vlan dot1q,integer,dot1q.idCnt
